,diseases,diseases_abbr,Distance,%White,Gap_W_mean,CI_W,%Black,Gap_B_mean,CI_B,%Hisp,Gap_H_mean,CI_H,%Other,Gap_Ot_mean,CI_Ot,%Asian,Gap_As_mean,CI_As,%American,Gap_Am_mean,CI_Am
12,Pneumothorax,Px,0.0877400773490922,0.7505390835579521,0.037124377956332597,0.02624453540450136,0.127178796046721,-0.050615699392759596,0.019645276325862358,0.079469901168014,0.0204444900346788,0.01564200068102544,0.029200359389038998,-0.0373185225321778,0.032032000326615385,0.013611859838274998,0.002110774243653799,0.012797192383181766,0.0,,
1,Atelectasis,A,0.12152868571988679,0.660526891643754,0.0025297239807841993,0.007530816484564148,0.2013281703407,-0.025664572125221004,0.008977137451267743,0.08495152558821001,-0.0009376102929579995,0.009058550091140758,0.037371440532029,0.0095003057950126,0.01153699557662838,0.012739398898265999,-0.013668981860759799,0.024544529626738257,0.003082572997041,0.09586411359466579,0.023845790566751623
3,Consolidation,Co,0.12944261609988,0.714931281744846,0.061813722060416,0.016386289838196882,0.149200776815058,-0.011909244477511599,0.01446508485148234,0.098110247983269,-0.009966160883773,0.018954246750867404,0.02315506423663,-0.06762889403946401,0.028411876978791367,0.014602629220197,0.019429929489947796,0.019140950072865717,0.0,,
10,Pleural Other,PO,0.15416666666666717,0.9365972613018199,0.1210605083337144,0.04752778409673967,0.047645845057213,0.0,0.0,0.001500656537235,-0.023622047244095,0.0,0.005252297880323,-0.023622047244095,0.0,0.00900393922341,0.13054461942257217,0.061385960211689225,0.0,,
4,Edema,Ed,0.203700558720339,0.6177857624073659,-0.0009670980899622001,0.007056554081850741,0.204105626081558,0.013229699265042602,0.014047425030043845,0.129575567033461,0.064608678041862,0.011754978362541014,0.038348238464485,0.0033507564588832,0.003523813774314426,0.008018388132257,-0.11156144310062518,0.022560245316664295,0.0021664178808729995,-0.139091880678477,0.03642367309400376
2,Cardiomegaly,Cd,0.2138369552719332,0.5846931330853959,-0.13734598766677758,0.01082552969097122,0.26359948039930997,0.004257589602619601,0.008153998343381517,0.105984305212022,0.024941745481796198,0.020143894761225037,0.031505240493265,-0.003000047946771,0.009854419114914924,0.01190455006495,-0.152744721594652,0.017540956855309132,0.002313290745058,0.061092233677281206,0.04133992963498806
5,Enlarged Cardiomediastinum,EC,0.24198992723771878,0.702839823417013,0.0136279852996254,0.008827149202364328,0.150490874349344,-0.0031944257338304,0.006261074438307584,0.094023851881136,-0.040946829034203394,0.01736984848021584,0.038545167029057,-0.028604637238612802,0.023153069634325393,0.01410028332345,0.2010430982035154,0.04081663464710271,0.0,,
11,Pneumonia,Pa,0.257106957750903,0.672014354319489,0.0872416790038532,0.00615228161445154,0.208164019209457,0.008256156162317601,0.004820200681436037,0.08330254894717401,-0.008256156162317601,0.004820200681436037,0.020001055464668,-0.06274126819296041,0.007700826875253946,0.015673650324554998,0.0843434754617044,0.017336443901175547,0.0008443717346559999,-0.16986527874704976,0.017838769735292834
13,Support Devices,SD,0.2777320277837528,0.618486291249384,-0.0792397398348332,0.005016694787032507,0.219977015268429,-0.0261812625011196,0.0035749465659312978,0.113288458381218,0.19849228794891957,0.00511504569990476,0.033695616483336,0.0742103991216616,0.006501617754454598,0.013922180265966002,-0.07518666202718241,0.01260421597971168,0.000630438351666,0.0261812625011196,0.0035749465659312978
6,Fracture,Fr,0.284016175041535,0.8115762157283092,0.017998286247968405,0.027612829531745636,0.065891910188424,-0.0736202774621836,0.019837600248722626,0.021211779307231997,0.0283325059828766,0.02470098084515538,0.09861220805596302,0.2103958975793514,0.03483448457553288,0.0009026289066910002,-0.0386887706128682,0.07808607202711876,0.0018052578133809997,-0.013688770612868394,0.05274356956585725
8,No Finding,NF,0.300459093459018,0.5016965776847021,-0.0658799639516004,0.006209601023452655,0.35392863770113697,0.2002961805116442,0.008291143280913446,0.09928293083794999,-0.0649613595434144,0.013073152320827253,0.029524428067757003,0.059269897542347204,0.009398918567489666,0.014752273149007001,0.09011824323346039,0.006940294595754819,0.0008151525594460001,-0.10016291294737378,0.019456295333469528
7,Lung Lesion,LL,0.31616244871962984,0.7155001191705731,-0.0013701010920256001,0.0026853981403701763,0.20926352586001395,0.026928775334067602,0.018695850770367835,0.016763327242393,-0.113678377933268,0.022390413372566684,0.04020020656232601,0.20248407078636182,0.017743292313099943,0.018272821164694,-0.028741225656325604,0.024108538578845665,0.0,,
9,Pleural Effusion,Ef,0.38749145777416844,0.7102387908418791,0.09512031299329358,0.0059590152362324214,0.17166259241593101,-0.0170461953061756,0.006528553787585719,0.06841014786549,-0.1568563618105058,0.030657514878463087,0.033903231576437,0.0170461953061756,0.006528553787585719,0.013161817314572,-0.05579803489189179,0.013712590683230785,0.0026234199856899998,0.23063509596366263,0.005934515233825079
0,Airspace Opacity,AO,0.4594532279314888,0.675257650977188,0.06515167086031101,0.012966453439400057,0.18268082699679503,-0.1069725490818206,0.016374820144155307,0.09954125557720099,0.07188100190795318,0.00875664329893537,0.026307107396468,-0.0379389805381862,0.006349879647157568,0.014948469804561998,0.0379389805381862,0.006349879647157568,0.001264689247785,-0.38757222602353564,0.050485452202241834
