,diseases,diseases_abbr,Distance,%M,Gap_M_mean,CI_M,%F,Gap_F_mean,CI_F
12,Pneumothorax,Px,0.009846216702368758,0.6660587269742841,0.004923108351184379,0.01212100615257293,0.33394127302571586,-0.004923108351184379,0.01212100615257293
1,Atelectasis,A,0.024203489910639985,0.6068533735815306,-0.012101744955319993,0.00591345092168211,0.3931466264184694,0.012101744955319993,0.00591345092168211
10,Pleural Other,PO,0.03813679176099856,0.6534700315457413,0.01906839588049928,0.03329180608855017,0.34652996845425865,-0.01906839588049928,0.03329180608855017
4,Edema,Ed,0.03923040690911643,0.5654218736638936,0.019615203454558215,0.01750319272068892,0.4345781263361063,-0.019615203454558215,0.01750319272068892
2,Cardiomegaly,Cd,0.06040211822833501,0.5918838824804028,0.030201059114167504,0.012909658539116605,0.4081161175195972,-0.030201059114167504,0.012909658539116605
3,Consolidation,Co,0.09253439390895808,0.6304306281054911,0.04626719695447904,0.020875468579095266,0.3695693718945088,-0.04626719695447904,0.020875468579095266
7,Lung Lesion,LL,0.09614801910764681,0.5709656513285807,-0.048074009553823405,0.010843327125723282,0.4290343486714193,0.048074009553823405,0.010843327125723282
11,Pneumonia,Pa,0.11626940991977364,0.5917776230998945,0.05813470495988682,0.009779071937926898,0.40822237690010554,-0.05813470495988682,0.009779071937926898
0,Airspace Opacity,AO,0.131566342270535,0.6205496478386963,0.0657831711352675,0.009830470633006445,0.3794503521613037,-0.0657831711352675,0.009830470633006445
6,Fracture,Fr,0.15101516934265338,0.6633405249910105,0.07550758467132669,0.005284218965774878,0.3366594750089896,-0.07550758467132669,0.005284218965774878
5,Enlarged Cardiomediastinum,EC,0.159690027458835,0.6191416458563215,0.0798450137294175,0.01476141645472986,0.3808583541436785,-0.0798450137294175,0.01476141645472986
9,Pleural Effusion,Ef,0.19326405681801004,0.5513118502330634,-0.09663202840900502,0.00799035846122202,0.44868814976693655,0.09663202840900502,0.00799035846122202
13,Support Devices,SD,0.27669621658073307,0.654981009162938,0.13834810829036653,0.005318140976869073,0.345018990837062,-0.13834810829036653,0.005318140976869073
8,No Finding,NF,0.36999413274114534,0.4653786751284715,-0.18499706637057267,0.007309254195905983,0.5346213248715285,0.18499706637057267,0.007309254195905983
