,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,%White,%White,%White,%White,%White,%White,%White,%White,Gap_White,Gap_White,Gap_White,Gap_White,Gap_White,Gap_White,Gap_White,Gap_White,%Black,%Black,%Black,%Black,%Black,%Black,%Black,%Black,Gap_Black,Gap_Black,Gap_Black,Gap_Black,Gap_Black,Gap_Black,Gap_Black,Gap_Black,%Hisp,%Hisp,%Hisp,%Hisp,%Hisp,%Hisp,%Hisp,%Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,%Other,%Other,%Other,%Other,%Other,%Other,%Other,%Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,%Asian,%Asian,%Asian,%Asian,%Asian,%Asian,%Asian,%Asian,Gap_Asian,Gap_Asian,Gap_Asian,Gap_Asian,Gap_Asian,Gap_Asian,Gap_Asian,Gap_Asian,%American,%American,%American,%American,%American,%American,%American,%American,Gap_American,Gap_American,Gap_American,Gap_American,Gap_American,Gap_American,Gap_American,Gap_American
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airspace Opacity,5.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,5.0,0.675257650977188,0.0,0.675257650977188,0.675257650977188,0.675257650977188,0.675257650977188,0.675257650977188,5.0,0.06515167086031101,0.01479279148856351,0.048026453375295,0.057979250979821005,0.060134127786359,0.07365603433924099,0.08596248782083901,5.0,0.18268082699679503,0.0,0.18268082699679503,0.18268082699679503,0.18268082699679503,0.18268082699679503,0.18268082699679503,5.0,-0.1069725490818206,0.018681230082481723,-0.13570221030566598,-0.10675833334780802,-0.10573331003216802,-0.10325872605867699,-0.083410165664784,5.0,0.09954125557720099,0.0,0.09954125557720099,0.09954125557720099,0.09954125557720099,0.09954125557720099,0.09954125557720099,5.0,0.07188100190795318,0.009990025342417093,0.057541973763555,0.066369275949499,0.075654047707906,0.07677872987151299,0.083060982247293,5.0,0.026307107396468,3.878959614448864e-18,0.026307107396467997,0.026307107396467997,0.026307107396467997,0.026307107396467997,0.026307107396467997,5.0,-0.0379389805381862,0.007244266602034031,-0.049433113656409004,-0.040392838891053,-0.034450327287287995,-0.034276394377848,-0.031142228478332996,5.0,0.014948469804561998,1.939479807224432e-18,0.014948469804562,0.014948469804562,0.014948469804562,0.014948469804562,0.014948469804562,5.0,0.0379389805381862,0.007244266602034031,0.031142228478332996,0.034276394377848,0.034450327287287995,0.040392838891053,0.049433113656409004,5.0,0.001264689247785,0.0,0.001264689247785,0.001264689247785,0.001264689247785,0.001264689247785,0.001264689247785,5.0,-0.38757222602353564,0.05759637908113735,-0.46471421175002703,-0.43083510055102003,-0.367611797569508,-0.33873720422491604,-0.335962816022207
Atelectasis,5.0,1.6,0.8944271909999159,0.0,2.0,2.0,2.0,2.0,5.0,0.660526891643754,0.0,0.660526891643754,0.660526891643754,0.660526891643754,0.660526891643754,0.660526891643754,5.0,0.0025297239807841993,0.008591539584470119,-0.007094205619627,-0.0033062353662559997,0.00048290563682300004,0.008922156000799,0.013643999252181998,5.0,0.2013281703407,0.0,0.2013281703407,0.2013281703407,0.2013281703407,0.2013281703407,0.2013281703407,5.0,-0.025664572125221004,0.010241576318568306,-0.042909360070087006,-0.025290365797213,-0.024125828159739,-0.019032201663553003,-0.016965104935513002,5.0,0.08495152558821001,0.0,0.08495152558821001,0.08495152558821001,0.08495152558821001,0.08495152558821001,0.08495152558821001,5.0,-0.0009376102929579995,0.010334456010906965,-0.013643999252181998,-0.008598253271623002,-0.00048290563682300004,0.006943823519282,0.011093283176556001,5.0,0.037371440532029,0.0,0.037371440532029,0.037371440532029,0.037371440532029,0.037371440532029,0.037371440532029,5.0,0.0095003057950126,0.013161993043599716,-0.006943823519282,0.0033062353662559997,0.008598253271623002,0.013980339027636998,0.028560524828828995,5.0,0.012739398898265999,1.939479807224432e-18,0.012739398898266,0.012739398898266,0.012739398898266,0.012739398898266,0.012739398898266,5.0,-0.013668981860759799,0.028001651388338922,-0.04526345239221799,-0.029399561007507007,-0.018176718021655,-0.003986345503135,0.028481167620716,5.0,0.003082572997041,0.0,0.003082572997041,0.003082572997041,0.003082572997041,0.003082572997041,0.003082572997041,5.0,0.09586411359466579,0.02720449422677544,0.056508185951275006,0.085624717330904,0.097828626052937,0.110503536015331,0.128855502622882
Cardiomegaly,5.0,5.4,2.3021728866442674,3.0,4.0,5.0,6.0,9.0,5.0,0.5846931330853959,0.0,0.5846931330853959,0.5846931330853959,0.5846931330853959,0.5846931330853959,0.5846931330853959,5.0,-0.13734598766677758,0.012350316470129562,-0.147912214008747,-0.14492577328455802,-0.14274584458202,-0.133778556056163,-0.11736755040239999,5.0,0.26359948039930997,0.0,0.26359948039930997,0.26359948039930997,0.26359948039930997,0.26359948039930997,0.26359948039930997,5.0,0.004257589602619601,0.009302497236847828,-0.005904646246051,-0.0054103783283770005,0.007604975986520999,0.011413054528188998,0.013584942072816002,5.0,0.105984305212022,0.0,0.105984305212022,0.105984305212022,0.105984305212022,0.105984305212022,0.105984305212022,5.0,0.024941745481796198,0.022981182662092387,0.005904646246051,0.010913747120651,0.014020990576836001,0.031658830626412005,0.06221051283903099,5.0,0.031505240493265,0.0,0.031505240493265,0.031505240493265,0.031505240493265,0.031505240493265,0.031505240493265,5.0,-0.003000047946771,0.011242423989654634,-0.013584942072815001,-0.011413054528188,-0.007604975986520999,0.0054103783283770005,0.012192354525291998,5.0,0.01190455006495,0.0,0.01190455006495,0.01190455006495,0.01190455006495,0.01190455006495,0.01190455006495,5.0,-0.152744721594652,0.020011618325950085,-0.176034282095583,-0.163808946253608,-0.159740181389469,-0.13614577633468802,-0.12799442189991198,5.0,0.002313290745058,0.0,0.002313290745058,0.002313290745058,0.002313290745058,0.002313290745058,0.002313290745058,5.0,0.061092233677281206,0.04716270043310784,0.020562551769168998,0.032280117651744995,0.041238771350164,0.073655266024459,0.137724461590869
Consolidation,5.0,1.8,1.6431676725154984,0.0,1.0,1.0,3.0,4.0,5.0,0.714931281744846,0.0,0.714931281744846,0.714931281744846,0.714931281744846,0.714931281744846,0.714931281744846,5.0,0.061813722060416,0.018694315294501152,0.031267831703587996,0.06364898608764799,0.065364894086164,0.066257719608005,0.082529178816675,5.0,0.149200776815058,0.0,0.149200776815058,0.149200776815058,0.149200776815058,0.149200776815058,0.149200776815058,5.0,-0.011909244477511599,0.016502506647049473,-0.040103422006858,-0.010491375088426,-0.008951425292273999,0.0,0.0,5.0,0.098110247983269,0.0,0.098110247983269,0.098110247983269,0.098110247983269,0.098110247983269,0.098110247983269,5.0,-0.009966160883773,0.021623971529206143,-0.046358862167355,-0.012027596353074,0.0,0.0,0.008555654101564001,5.0,0.02315506423663,0.0,0.02315506423663,0.02315506423663,0.02315506423663,0.02315506423663,0.02315506423663,5.0,-0.06762889403946401,0.03241371851680554,-0.091940395643258,-0.09001776414066,-0.080570909990925,-0.061934272679559005,-0.013681127742918001,5.0,0.014602629220197,1.939479807224432e-18,0.014602629220196998,0.014602629220196998,0.014602629220196998,0.014602629220196998,0.014602629220196998,5.0,0.019429929489947796,0.02183697220247821,0.0,0.001579115948195,0.017304238994395,0.024465364314088,0.053800928193060996,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Edema,5.0,4.4,1.3416407864998738,3.0,3.0,5.0,5.0,6.0,5.0,0.6177857624073659,0.0,0.6177857624073659,0.6177857624073659,0.6177857624073659,0.6177857624073659,0.6177857624073659,5.0,-0.0009670980899622001,0.00805047684383769,-0.009813375432083,-0.003973551412205,-0.002168164586585,-0.000970971070729,0.012090572051791,5.0,0.204105626081558,3.1031676915590914e-17,0.20410562608155802,0.20410562608155802,0.20410562608155802,0.20410562608155802,0.20410562608155802,5.0,0.013229699265042602,0.016026019018372483,0.000509059865516,0.001605314485165,0.003973551412205,0.023697967379251002,0.036362603183076006,5.0,0.129575567033461,0.0,0.129575567033461,0.129575567033461,0.129575567033461,0.129575567033461,0.129575567033461,5.0,0.064608678041862,0.013410678924837181,0.046051623629473,0.05927735901349299,0.062455126088649005,0.076431876002785,0.07882740547491,5.0,0.038348238464485,0.0,0.038348238464485,0.038348238464485,0.038348238464485,0.038348238464485,0.038348238464485,5.0,0.0033507564588832,0.004020146499702632,-0.000509059865516,0.000970971070729,0.002168164586585,0.004310331070534999,0.009813375432083,5.0,0.008018388132257,0.0,0.008018388132257,0.008018388132257,0.008018388132257,0.008018388132257,0.008018388132257,5.0,-0.11156144310062518,0.02573787863119012,-0.143826471093779,-0.125066571280022,-0.115433063381733,-0.096206035285692,-0.07727507446189999,5.0,0.0021664178808729995,0.0,0.0021664178808729995,0.0021664178808729995,0.0021664178808729995,0.0021664178808729995,0.0021664178808729995,5.0,-0.139091880678477,0.04155398419817474,-0.205665985699799,-0.15212338884290197,-0.119812737580062,-0.11646774012059301,-0.101389551149029
Enlarged Cardiomediastinum,5.0,6.0,2.5495097567963922,3.0,5.0,6.0,6.0,10.0,5.0,0.702839823417013,0.0,0.702839823417013,0.702839823417013,0.702839823417013,0.702839823417013,0.702839823417013,5.0,0.0136279852996254,0.010070462073479431,0.000484866086989,0.007336364981151,0.013420574196799998,0.023012771437583,0.023885349795604,5.0,0.150490874349344,0.0,0.150490874349344,0.150490874349344,0.150490874349344,0.150490874349344,0.150490874349344,5.0,-0.0031944257338304,0.007142953089919425,-0.015972128669152,0.0,0.0,0.0,0.0,5.0,0.094023851881136,0.0,0.094023851881136,0.094023851881136,0.094023851881136,0.094023851881136,0.094023851881136,5.0,-0.040946829034203394,0.019816409163588792,-0.067985510857039,-0.051373805406612995,-0.0404195052386,-0.027399541204727002,-0.017555782464038,5.0,0.038545167029057,0.0,0.038545167029057,0.038545167029057,0.038545167029057,0.038545167029057,0.038545167029057,5.0,-0.028604637238612802,0.026414202852111112,-0.062492702860479,-0.050121244779739005,-0.016236322541051,-0.014172916011795001,0.0,5.0,0.01410028332345,0.0,0.01410028332345,0.01410028332345,0.01410028332345,0.01410028332345,0.01410028332345,5.0,0.2010430982035154,0.04656569881821164,0.151214462248556,0.17317135047547302,0.19371654909406402,0.21401623647642298,0.273096892723061,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Fracture,5.0,8.4,1.9493588689617927,7.0,7.0,7.0,10.0,11.0,5.0,0.8115762157283092,0.0,0.8115762157283092,0.8115762157283092,0.8115762157283092,0.8115762157283092,0.8115762157283092,5.0,0.017998286247968405,0.0315021244306617,-0.01670359184905,-0.008096302256035,0.015045009036562999,0.045201396304327006,0.054544920004037004,5.0,0.065891910188424,0.0,0.065891910188424,0.065891910188424,0.065891910188424,0.065891910188424,0.065891910188424,5.0,-0.0736202774621836,0.02263174625847476,-0.10997230439111401,-0.07963322266381401,-0.067271036433824,-0.056679903818129006,-0.054544920004037004,5.0,0.021211779307231997,0.0,0.021211779307231997,0.021211779307231997,0.021211779307231997,0.021211779307231997,0.021211779307231997,5.0,0.0283325059828766,0.028180138918718185,0.008096302256035,0.011303191489362,0.01670359184905,0.028837969686841002,0.076721474633095,5.0,0.09861220805596302,0.0,0.09861220805596302,0.09861220805596302,0.09861220805596302,0.09861220805596302,0.09861220805596302,5.0,0.2103958975793514,0.03974095687349971,0.15929709622659502,0.19507552704610698,0.20804481072540695,0.221314332391432,0.26824772150721604,5.0,0.0009026289066910002,1.21217487951527e-19,0.0009026289066910001,0.0009026289066910001,0.0009026289066910001,0.0009026289066910001,0.0009026289066910001,5.0,-0.0386887706128682,0.08908457405539917,-0.10360582540353899,-0.077545009036563,-0.073803191489362,-0.056257248771161,0.117767421636284,5.0,0.0018052578133809997,2.42434975903054e-19,0.001805257813381,0.001805257813381,0.001805257813381,0.001805257813381,0.001805257813381,5.0,-0.013688770612868394,0.06017255455369688,-0.06973257836371699,-0.056257248771161,-0.015045009036562999,-0.011303191489362,0.08389417459646101
Lung Lesion,5.0,10.6,1.1401754250991378,9.0,10.0,11.0,11.0,12.0,5.0,0.7155001191705731,0.0,0.7155001191705731,0.7155001191705731,0.7155001191705731,0.7155001191705731,0.7155001191705731,5.0,-0.0013701010920256001,0.003063639177815937,-0.006850505460128001,0.0,0.0,0.0,0.0,5.0,0.20926352586001395,0.0,0.20926352586001395,0.20926352586001395,0.20926352586001395,0.20926352586001395,0.20926352586001395,5.0,0.026928775334067602,0.02132918021415015,0.0036740881932929995,0.011650041455532001,0.024748370739426002,0.036991185500644,0.057580190781443,5.0,0.016763327242393,0.0,0.016763327242393,0.016763327242393,0.016763327242393,0.016763327242393,0.016763327242393,5.0,-0.113678377933268,0.02554412568641808,-0.13741286746171302,-0.133819160054435,-0.119787966526792,-0.10199876365135001,-0.07537313197205,5.0,0.04020020656232601,0.0,0.04020020656232601,0.04020020656232601,0.04020020656232601,0.04020020656232601,0.04020020656232601,5.0,0.20248407078636182,0.020242452937112736,0.173142367100018,0.193841786634997,0.208115538257762,0.210047934666305,0.22727272727272702,5.0,0.018272821164694,0.0,0.018272821164694,0.018272821164694,0.018272821164694,0.018272821164694,0.018272821164694,5.0,-0.028741225656325604,0.02750425056146688,-0.067027778582394,-0.046429916287692004,-0.020138265311048998,-0.010110168100493,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
No Finding,5.0,9.4,1.51657508881031,7.0,9.0,10.0,10.0,11.0,5.0,0.5016965776847021,0.0,0.5016965776847021,0.5016965776847021,0.5016965776847021,0.5016965776847021,0.5016965776847021,5.0,-0.0658799639516004,0.007084229592649186,-0.07486130056547201,-0.07091814417430499,-0.06558112364563999,-0.059509411659949,-0.058529839712636,5.0,0.35392863770113697,0.0,0.35392863770113697,0.35392863770113697,0.35392863770113697,0.35392863770113697,0.35392863770113697,5.0,0.2002961805116442,0.009458959177200561,0.1867116304902,0.196584948367281,0.200100483789287,0.20723081842701302,0.21085302148444002,5.0,0.09928293083794999,0.0,0.09928293083794999,0.09928293083794999,0.09928293083794999,0.09928293083794999,0.09928293083794999,5.0,-0.0649613595434144,0.014914519015091266,-0.08276431143632801,-0.070552441622464,-0.067991243371205,-0.061322130216027004,-0.042176671071048,5.0,0.029524428067757003,0.0,0.029524428067757003,0.029524428067757003,0.029524428067757003,0.029524428067757003,0.029524428067757003,5.0,0.059269897542347204,0.010722765730557061,0.042176671071048,0.058529839712635,0.059509411659949,0.06558112364563999,0.070552441622464,5.0,0.014752273149007001,1.939479807224432e-18,0.014752273149007,0.014752273149007,0.014752273149007,0.014752273149007,0.014752273149007,5.0,0.09011824323346039,0.007917842091827653,0.082801850689939,0.083299271927797,0.08736409259841998,0.098049323257276,0.09907667769386999,5.0,0.0008151525594460001,0.0,0.0008151525594460001,0.0008151525594460001,0.0008151525594460001,0.0008151525594460001,0.0008151525594460001,5.0,-0.10016291294737378,0.02219673416119888,-0.124969106387937,-0.113072424929232,-0.09924841994753901,-0.097743176264026,-0.065781437208135
