,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,%Medicare,%Medicare,%Medicare,%Medicare,%Medicare,%Medicare,%Medicare,%Medicare,Gap_Medicare,Gap_Medicare,Gap_Medicare,Gap_Medicare,Gap_Medicare,Gap_Medicare,Gap_Medicare,Gap_Medicare,%Other,%Other,%Other,%Other,%Other,%Other,%Other,%Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,%Medicaid,%Medicaid,%Medicaid,%Medicaid,%Medicaid,%Medicaid,%Medicaid,%Medicaid,Gap_Medicaid,Gap_Medicaid,Gap_Medicaid,Gap_Medicaid,Gap_Medicaid,Gap_Medicaid,Gap_Medicaid,Gap_Medicaid
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airspace Opacity,5.0,2.2,1.7888543819998317,0.0,1.0,2.0,4.0,4.0,5.0,0.5294876990738656,0.0,0.5294876990738656,0.5294876990738656,0.5294876990738656,0.5294876990738656,0.5294876990738656,5.0,0.02979346373584755,0.009041589944347655,0.01700664786285555,0.026714739394692488,0.029352961215546206,0.03471518243626126,0.041177787769882235,5.0,0.3705438225184251,0.0,0.3705438225184251,0.3705438225184251,0.3705438225184251,0.3705438225184251,0.3705438225184251,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.09996847840770927,0.0,0.09996847840770927,0.09996847840770927,0.09996847840770927,0.09996847840770927,0.09996847840770927,5.0,-0.05461335271916168,0.02076079719125862,-0.08144826346236045,-0.0592316188018206,-0.05507812965683823,-0.054033063688333834,-0.023275687986455296
Atelectasis,5.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,5.0,0.5613212958795548,0.0,0.5613212958795548,0.5613212958795548,0.5613212958795548,0.5613212958795548,0.5613212958795548,5.0,0.09789128671170269,0.006757724070620879,0.09168322156771658,0.0917037390483746,0.0961768057779676,0.10365120772387937,0.10624145944057528,5.0,0.3718814257852144,0.0,0.3718814257852144,0.3718814257852144,0.3718814257852144,0.3718814257852144,0.3718814257852144,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.06679727833523072,0.0,0.06679727833523072,0.06679727833523072,0.06679727833523072,0.06679727833523072,0.06679727833523072,5.0,-0.1671543765134088,0.0118994171291212,-0.17902293685189755,-0.175564141789193,-0.16813974509886565,-0.16451484881376005,-0.14853021001332778
Cardiomegaly,5.0,3.4,1.9493588689617927,2.0,2.0,2.0,5.0,6.0,5.0,0.4800238826339133,0.0,0.4800238826339133,0.4800238826339133,0.4800238826339133,0.4800238826339133,0.4800238826339133,5.0,-0.007710172510350022,0.011137722563303766,-0.024292639391118254,-0.014258223160631855,0.0,0.0,0.0,5.0,0.42450528829750944,6.206335383118183e-17,0.4245052882975094,0.4245052882975094,0.4245052882975094,0.4245052882975094,0.4245052882975094,5.0,0.0785224586434625,0.012456284315802415,0.06606407276302895,0.06912643282329768,0.07378913954218691,0.09101589554838274,0.09261675254041624,5.0,0.09547082906857728,0.0,0.09547082906857728,0.09547082906857728,0.09547082906857728,0.09547082906857728,0.09547082906857728,5.0,-0.01894456050739448,0.026140373910293106,-0.06282757927727722,-0.021939318629356497,-0.009955904630338686,0.0,0.0
Consolidation,5.0,3.2,1.9235384061671346,1.0,2.0,3.0,4.0,6.0,5.0,0.4460312532339853,0.0,0.4460312532339853,0.4460312532339853,0.4460312532339853,0.4460312532339853,0.4460312532339853,5.0,-0.06629712161594858,0.022367622483054055,-0.08825414286021946,-0.07774991424032665,-0.07540195353717077,-0.059205238772887865,-0.03087435866913818,5.0,0.43233640346338265,0.0,0.43233640346338265,0.43233640346338265,0.43233640346338265,0.43233640346338265,0.43233640346338265,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.12163234330263203,1.5515838457795457e-17,0.12163234330263205,0.12163234330263205,0.12163234330263205,0.12163234330263205,0.12163234330263205,5.0,0.033015622647305835,0.01744315229904702,0.012036878341688484,0.02751132925129837,0.027783033958811543,0.03847322365608225,0.05927364802864854
Edema,5.0,10.6,0.8944271909999159,10.0,10.0,10.0,11.0,12.0,5.0,0.4992547315154627,0.0,0.4992547315154627,0.4992547315154627,0.4992547315154627,0.4992547315154627,0.4992547315154627,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3971842629357316,0.0,0.3971842629357316,0.3971842629357316,0.3971842629357316,0.3971842629357316,0.3971842629357316,5.0,0.06827331892065544,0.013200392762108267,0.050591698240238785,0.06395054234419784,0.06813415824366514,0.07158341558281818,0.08710678019235724,5.0,0.10356100554880568,0.0,0.10356100554880568,0.10356100554880568,0.10356100554880568,0.10356100554880568,0.10356100554880568,5.0,-0.12250972534983107,0.0131430062075785,-0.13598554461807333,-0.13226411137479255,-0.12707320214739054,-0.1105021956144806,-0.10672357299441826
Enlarged Cardiomediastinum,5.0,5.0,1.4142135623730951,3.0,4.0,6.0,6.0,6.0,5.0,0.4579456759288168,0.0,0.4579456759288168,0.4579456759288168,0.4579456759288168,0.4579456759288168,0.4579456759288168,5.0,-0.025157693174138317,0.008398655359535765,-0.035184776452368734,-0.03168319450436097,-0.02355992112605146,-0.021190913322261057,-0.01416966046564938,5.0,0.44807992507024663,6.206335383118183e-17,0.4480799250702466,0.4480799250702466,0.4480799250702466,0.4480799250702466,0.4480799250702466,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.09397439900093664,0.0,0.09397439900093664,0.09397439900093664,0.09397439900093664,0.09397439900093664,0.09397439900093664,5.0,0.08657590639895998,0.004412674172981717,0.08338740800823713,0.08463334777793828,0.0846476071956355,0.08590373226369183,0.09430743674929724
Fracture,5.0,3.2,1.4832396974191326,1.0,3.0,3.0,4.0,5.0,5.0,0.5341122470269143,0.0,0.5341122470269143,0.5341122470269143,0.5341122470269143,0.5341122470269143,0.5341122470269143,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3531191320675986,0.0,0.3531191320675986,0.3531191320675986,0.3531191320675986,0.3531191320675986,0.3531191320675986,5.0,0.048669624723042836,0.020088199685235737,0.016067842965288043,0.04362565777326441,0.05691585118168389,0.059787550775480064,0.06695122091949779,5.0,0.11276862090548714,0.0,0.11276862090548714,0.11276862090548714,0.11276862090548714,0.11276862090548714,0.11276862090548714,5.0,-0.04547948225023126,0.03220612169619885,-0.08673483030758555,-0.06658385609389454,-0.03711298855226642,-0.033876149109620717,-0.003089587187789088
Lung Lesion,5.0,3.8,1.7888543819998317,1.0,3.0,5.0,5.0,5.0,5.0,0.5318393434861517,0.0,0.5318393434861517,0.5318393434861517,0.5318393434861517,0.5318393434861517,0.5318393434861517,5.0,-0.030863160106089648,0.02191669402232917,-0.06437987447808619,-0.03436621937449122,-0.0330138389222972,-0.01391770174102569,-0.008638166014547949,5.0,0.3789947131697309,0.0,0.3789947131697309,0.3789947131697309,0.3789947131697309,0.3789947131697309,0.3789947131697309,5.0,0.06918076644575018,0.028340311133140277,0.03662533925146341,0.04625888318326121,0.06764945950079135,0.09747502943403738,0.09789512085919752,5.0,0.08916594334411741,0.0,0.08916594334411741,0.08916594334411741,0.08916594334411741,0.08916594334411741,0.08916594334411741,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
