,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,%White,%White,%White,%White,%White,%White,%White,%White,Gap_White,Gap_White,Gap_White,Gap_White,Gap_White,Gap_White,Gap_White,Gap_White,%Black,%Black,%Black,%Black,%Black,%Black,%Black,%Black,Gap_Black,Gap_Black,Gap_Black,Gap_Black,Gap_Black,Gap_Black,Gap_Black,Gap_Black,%Hisp,%Hisp,%Hisp,%Hisp,%Hisp,%Hisp,%Hisp,%Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,Gap_Hisp,%Other,%Other,%Other,%Other,%Other,%Other,%Other,%Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,Gap_Other,%Asian,%Asian,%Asian,%Asian,%Asian,%Asian,%Asian,%Asian,Gap_Asian,Gap_Asian,Gap_Asian,Gap_Asian,Gap_Asian,Gap_Asian,Gap_Asian,Gap_Asian,%American,%American,%American,%American,%American,%American,%American,%American,Gap_American,Gap_American,Gap_American,Gap_American,Gap_American,Gap_American,Gap_American,Gap_American
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airspace Opacity,5.0,11.4,3.0495901363953815,6.0,12.0,13.0,13.0,13.0,5.0,0.675257650977188,0.0,0.675257650977188,0.675257650977188,0.675257650977188,0.675257650977188,0.675257650977188,5.0,0.0684628761136924,0.015107093130358268,0.051752788697150005,0.058828770795638,0.067097991660251,0.073511318643852,0.091123510771571,5.0,0.18268082699679503,0.0,0.18268082699679503,0.18268082699679503,0.18268082699679503,0.18268082699679503,0.18268082699679503,5.0,-0.09963516162937239,0.013061225790914633,-0.11966631425509401,-0.10439071671200098,-0.09515506374862,-0.09349867253285199,-0.08546504089829499,5.0,0.09954125557720099,0.0,0.09954125557720099,0.09954125557720099,0.09954125557720099,0.09954125557720099,0.09954125557720099,5.0,0.0627049578314902,0.018880947752449962,0.031723991667914,0.057532244219814,0.073530340547744,0.074522556103148,0.076215656618831,5.0,0.026307107396468,3.878959614448864e-18,0.026307107396467997,0.026307107396467997,0.026307107396467997,0.026307107396467997,0.026307107396467997,5.0,-0.0255457939382224,0.00884037558616504,-0.033082007993852997,-0.031320397913307,-0.0287977823201,-0.023377069444656003,-0.011151712019196002,5.0,0.014948469804561998,1.939479807224432e-18,0.014948469804562,0.014948469804562,0.014948469804562,0.014948469804562,0.014948469804562,5.0,0.0255457939382224,0.00884037558616504,0.011151712019196002,0.023377069444656003,0.0287977823201,0.031320397913307,0.033082007993852997,5.0,0.001264689247785,0.0,0.001264689247785,0.001264689247785,0.001264689247785,0.001264689247785,0.001264689247785,5.0,-0.2925071006414376,0.10625459392969208,-0.40461436348011204,-0.33555663682195397,-0.304711113268108,-0.29989012166086,-0.11776326797615401
Atelectasis,5.0,1.2,1.3038404810405297,0.0,0.0,1.0,2.0,3.0,5.0,0.660526891643754,0.0,0.660526891643754,0.660526891643754,0.660526891643754,0.660526891643754,0.660526891643754,5.0,0.00043996960447359945,0.009177739589068788,-0.008100958262939,-0.007432103365284001,-0.002602092643084,0.008844105580855,0.01149089671282,5.0,0.2013281703407,0.0,0.2013281703407,0.2013281703407,0.2013281703407,0.2013281703407,0.2013281703407,5.0,-0.026649157123357803,0.0124593614287816,-0.047008564501588,-0.025573872731294,-0.024957651788793,-0.022734945967663,-0.012970750627451,5.0,0.08495152558821001,0.0,0.08495152558821001,0.08495152558821001,0.08495152558821001,0.08495152558821001,0.08495152558821001,5.0,0.0016637856747728004,0.010520221271532215,-0.01149089671282,-0.004214353719168,-0.0006919830780910001,0.011719143537398002,0.012997018346545,5.0,0.037371440532029,0.0,0.037371440532029,0.037371440532029,0.037371440532029,0.037371440532029,0.037371440532029,5.0,0.0054919603745254,0.007212821960842825,0.0006919830780910001,0.001041620718869,0.0034005489399179995,0.004214353719168,0.018111295416581002,5.0,0.012739398898265999,1.939479807224432e-18,0.012739398898266,0.012739398898266,0.012739398898266,0.012739398898266,0.012739398898266,5.0,-0.0089775269925554,0.017933234979237433,-0.029608612016577003,-0.024671300647904997,-0.0034005489399179995,-0.001041620718869,0.013834447360491999,5.0,0.003082572997041,0.0,0.003082572997041,0.003082572997041,0.003082572997041,0.003082572997041,0.003082572997041,5.0,0.087682501220871,0.01618425163157272,0.064734386804711,0.083911243412664,0.08582939475997,0.095067494657234,0.108869986469776
Cardiomegaly,5.0,6.0,1.5811388300841898,4.0,5.0,6.0,7.0,8.0,5.0,0.5846931330853959,0.0,0.5846931330853959,0.5846931330853959,0.5846931330853959,0.5846931330853959,0.5846931330853959,5.0,-0.1409598258032534,0.010267579345538019,-0.15214979657848998,-0.15015370779325501,-0.138722382987396,-0.136485402356926,-0.1272878393002,5.0,0.26359948039930997,0.0,0.26359948039930997,0.26359948039930997,0.26359948039930997,0.26359948039930997,0.26359948039930997,5.0,0.0055929521394702,0.009051982158100477,-0.0046091140504,-0.003013825087821,0.008893690331679001,0.010309800549727,0.016384208954166,5.0,0.105984305212022,0.0,0.105984305212022,0.105984305212022,0.105984305212022,0.105984305212022,0.105984305212022,5.0,0.026293799203649597,0.024634227196838533,0.005017692519751,0.009303469725933001,0.013632550489899,0.041059164539845,0.06245611874282,5.0,0.031505240493265,0.0,0.031505240493265,0.031505240493265,0.031505240493265,0.031505240493265,0.031505240493265,5.0,-0.004176804293823601,0.007332169997302319,-0.010309800549727,-0.009303469725933001,-0.008893690331679001,0.003013825087821,0.0046091140504,5.0,0.01190455006495,0.0,0.01190455006495,0.01190455006495,0.01190455006495,0.01190455006495,0.01190455006495,5.0,-0.1628679258935002,0.017613582259617233,-0.17968205081018998,-0.174235808348155,-0.172474854884407,-0.147343519397036,-0.14060339602771302,5.0,0.002313290745058,0.0,0.002313290745058,0.002313290745058,0.002313290745058,0.002313290745058,0.002313290745058,5.0,0.061020771358425804,0.04039326270550304,0.026638181527766005,0.031388546288411,0.053219893274,0.066707508808069,0.127149726893883
Consolidation,5.0,1.6,0.5477225575051661,1.0,1.0,2.0,2.0,2.0,5.0,0.714931281744846,0.0,0.714931281744846,0.714931281744846,0.714931281744846,0.714931281744846,0.714931281744846,5.0,0.062248507496268,0.03898155705793855,0.025972733694381002,0.028861273792261003,0.058538422557483,0.07723208219841099,0.120638025238804,5.0,0.149200776815058,0.0,0.149200776815058,0.149200776815058,0.149200776815058,0.149200776815058,0.149200776815058,5.0,-0.007302326464874401,0.01058625874910137,-0.019763188950025,-0.01796735832238,0.0,0.0,0.001218914948033,5.0,0.098110247983269,0.0,0.098110247983269,0.098110247983269,0.098110247983269,0.098110247983269,0.098110247983269,5.0,-0.0199037653590384,0.018333053872763485,-0.036188459784857005,-0.033926877572985,-0.029403489437349998,0.0,0.0,5.0,0.02315506423663,0.0,0.02315506423663,0.02315506423663,0.02315506423663,0.02315506423663,0.02315506423663,5.0,-0.0665594624009234,0.019508215320463273,-0.08610091236170302,-0.07730429165489099,-0.07183813216731301,-0.062280044697127994,-0.035273931123582,5.0,0.014602629220197,1.939479807224432e-18,0.014602629220196998,0.014602629220196998,0.014602629220196998,0.014602629220196998,0.014602629220196998,5.0,0.029084461367742797,0.029444388972985566,0.0,0.016792730042988997,0.021266466567428,0.02918930601651,0.078173804211787,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Edema,5.0,4.0,1.0,3.0,3.0,4.0,5.0,5.0,5.0,0.6177857624073659,0.0,0.6177857624073659,0.6177857624073659,0.6177857624073659,0.6177857624073659,0.6177857624073659,5.0,-0.0020329194093784003,0.007919421226563458,-0.008154349453728001,-0.005298750119079001,-0.004599435312302,-0.003952168813363,0.011840106651580001,5.0,0.204105626081558,3.1031676915590914e-17,0.20410562608155802,0.20410562608155802,0.20410562608155802,0.20410562608155802,0.20410562608155802,5.0,0.015263654248712403,0.016373544069964233,0.0008887563014369999,0.003952168813364,0.005298750119079001,0.031869067915480005,0.034309528094202006,5.0,0.129575567033461,0.0,0.129575567033461,0.129575567033461,0.129575567033461,0.129575567033461,0.129575567033461,5.0,0.059027807949553,0.01532701119802894,0.040377071793512,0.045859562000099996,0.06379082446552099,0.068701088084688,0.076410493403944,5.0,0.038348238464485,0.0,0.038348238464485,0.038348238464485,0.038348238464485,0.038348238464485,0.038348238464485,5.0,0.0063902571151116,0.006168695510802284,-0.0008887563014369999,0.004288948471694001,0.004599435312302,0.008154349453728001,0.015797308639271,5.0,0.008018388132257,0.0,0.008018388132257,0.008018388132257,0.008018388132257,0.008018388132257,0.008018388132257,5.0,-0.106400975723042,0.0264693131987617,-0.144642789083522,-0.11093338629200099,-0.10860221202065598,-0.096227417884533,-0.07159907333449801,5.0,0.0021664178808729995,0.0,0.0021664178808729995,0.0021664178808729995,0.0021664178808729995,0.0021664178808729995,0.0021664178808729995,5.0,-0.11910439517898261,0.025731230945647634,-0.162888222150079,-0.119834120178903,-0.109636888759516,-0.105261226265747,-0.09790151854066802
Enlarged Cardiomediastinum,5.0,7.4,2.073644135332772,5.0,6.0,7.0,9.0,10.0,5.0,0.702839823417013,0.0,0.702839823417013,0.702839823417013,0.702839823417013,0.702839823417013,0.702839823417013,5.0,0.018115269532565797,0.013952067464839985,0.0,0.009852256219557,0.017477819202765,0.028718906058703995,0.034527366181803,5.0,0.150490874349344,0.0,0.150490874349344,0.150490874349344,0.150490874349344,0.150490874349344,0.150490874349344,5.0,-0.0014379641092682007,0.010807921856041585,-0.015701947400722,-0.00561318424716,0.0,0.0,0.014125311101541,5.0,0.094023851881136,0.0,0.094023851881136,0.094023851881136,0.094023851881136,0.094023851881136,0.094023851881136,5.0,-0.042571433342237,0.016361249929457797,-0.067640648145535,-0.050888366816323,-0.032456674320737004,-0.031073497086111,-0.030797980342479,5.0,0.038545167029057,0.0,0.038545167029057,0.038545167029057,0.038545167029057,0.038545167029057,0.038545167029057,5.0,-0.0300210467203716,0.03849254249022961,-0.087350876405167,-0.05179517627253599,-0.010959180924155,0.0,0.0,5.0,0.01410028332345,0.0,0.01410028332345,0.01410028332345,0.01410028332345,0.01410028332345,0.01410028332345,5.0,0.207969208092313,0.047539752961747,0.15428358401183098,0.185086829140547,0.189551881140666,0.235662143804115,0.275261602364406,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Fracture,5.0,6.2,3.492849839314596,2.0,4.0,6.0,8.0,11.0,5.0,0.8115762157283092,0.0,0.8115762157283092,0.8115762157283092,0.8115762157283092,0.8115762157283092,0.8115762157283092,5.0,0.0181632848725178,0.028097024004444304,-0.016286519695567,0.006216981787849,0.013793792576116003,0.027412233672807998,0.059679936021382995,5.0,0.065891910188424,0.0,0.065891910188424,0.065891910188424,0.065891910188424,0.065891910188424,0.065891910188424,5.0,-0.06163271161569659,0.030122885932668056,-0.11038937654459599,-0.066019819973376,-0.055018351650863,-0.045677280676187995,-0.031058729233459998,5.0,0.021211779307231997,0.0,0.021211779307231997,0.021211779307231997,0.021211779307231997,0.021211779307231997,0.021211779307231997,5.0,0.0188977459768424,0.01717262212406055,-0.009973404255319,0.016286519695567,0.027027699063214998,0.030089186147288997,0.031058729233459998,5.0,0.09861220805596302,0.0,0.09861220805596302,0.09861220805596302,0.09861220805596302,0.09861220805596302,0.09861220805596302,5.0,0.14960518061338718,0.05730184874243109,0.060745715468134,0.15029530355548099,0.15553931111832903,0.16054831268704198,0.22089726023795,5.0,0.0009026289066910002,1.21217487951527e-19,0.0009026289066910001,0.0009026289066910001,0.0009026289066910001,0.0009026289066910001,0.0009026289066910001,5.0,-0.022591615725285598,0.07999211038130945,-0.076293792576116,-0.068716981787849,-0.05252659574468099,-0.032771058000583,0.117350349482801,5.0,0.0018052578133809997,2.42434975903054e-19,0.001805257813381,0.001805257813381,0.001805257813381,0.001805257813381,0.001805257813381,5.0,-0.022591615725285598,0.03070585682484389,-0.070149650517199,-0.032771058000583,-0.013793792576116003,-0.006216981787849,0.009973404255319
Lung Lesion,5.0,10.2,1.9235384061671343,7.0,10.0,11.0,11.0,12.0,5.0,0.7155001191705731,0.0,0.7155001191705731,0.7155001191705731,0.7155001191705731,0.7155001191705731,0.7155001191705731,5.0,-0.009721055528198602,0.013857634713908919,-0.029752145912387003,-0.018853131728606004,0.0,0.0,0.0,5.0,0.20926352586001395,0.0,0.20926352586001395,0.20926352586001395,0.20926352586001395,0.20926352586001395,0.20926352586001395,5.0,0.023301272790507598,0.014385034256810017,0.013598098445083001,0.013769766597338999,0.01604498544883,0.025611121312695998,0.04748239214858999,5.0,0.016763327242393,0.0,0.016763327242393,0.016763327242393,0.016763327242393,0.016763327242393,0.016763327242393,5.0,-0.1124438322341966,0.029331106541039768,-0.136781372347002,-0.132433546260045,-0.12904456533980002,-0.09458254791697598,-0.06937712930716,5.0,0.04020020656232601,0.0,0.04020020656232601,0.04020020656232601,0.04020020656232601,0.04020020656232601,0.04020020656232601,5.0,0.192175615904724,0.015459697444782072,0.176122374280124,0.18063241106719397,0.18719843336765396,0.206252924049755,0.210671936758893,5.0,0.018272821164694,0.0,0.018272821164694,0.018272821164694,0.018272821164694,0.018272821164694,0.018272821164694,5.0,-0.0290892062296634,0.03622580513417364,-0.08623719452732001,-0.041655321573058,-0.017553515047939,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
No Finding,5.0,9.4,2.4083189157584592,7.0,8.0,8.0,12.0,12.0,5.0,0.5016965776847021,0.0,0.5016965776847021,0.5016965776847021,0.5016965776847021,0.5016965776847021,0.5016965776847021,5.0,-0.06574967107677002,0.006714088117286153,-0.073228878155118,-0.072542161933814,-0.063575655570677,-0.060110795057032006,-0.059290864667209,5.0,0.35392863770113697,0.0,0.35392863770113697,0.35392863770113697,0.35392863770113697,0.35392863770113697,0.35392863770113697,5.0,0.20167981917256045,0.008996685786482295,0.186615536993108,0.201844089763357,0.20360712487773602,0.206051723970841,0.21028062025776004,5.0,0.09928293083794999,0.0,0.09928293083794999,0.09928293083794999,0.09928293083794999,0.09928293083794999,0.09928293083794999,5.0,-0.06331518267295719,0.013559719202076815,-0.07464746994308799,-0.073834746587151,-0.068840463914224,-0.056375674058072,-0.042877558862250996,5.0,0.029524428067757003,0.0,0.029524428067757003,0.029524428067757003,0.029524428067757003,0.029524428067757003,0.029524428067757003,5.0,0.0574990713117576,0.009403582538243265,0.042877558862250996,0.056375674058072,0.059290864667209,0.060110795057032006,0.068840463914224,5.0,0.014752273149007001,1.939479807224432e-18,0.014752273149007,0.014752273149007,0.014752273149007,0.014752273149007,0.014752273149007,5.0,0.09072670554568081,0.013333219891691494,0.07410916348967402,0.079459611796505,0.09602062128306098,0.09849977621330801,0.105544354945856,5.0,0.0008151525594460001,0.0,0.0008151525594460001,0.0008151525594460001,0.0008151525594460001,0.0008151525594460001,0.0008151525594460001,5.0,-0.0962125708551694,0.015870129994392544,-0.117474074699357,-0.10391144542305099,-0.09854753215633599,-0.08126085382235901,-0.079868948174744
