,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Pneumothorax,0.4757996276865798,0.014007842068555793,0.47444576070401084,0.0,0.049754611609409374,-0.008879207113557025
1,Consolidation,0.4460312532339853,-0.05920523877288786,0.43233640346338265,0.0,0.12163234330263203,0.027783033958811543
2,Airspace Opacity,0.5294876990738656,0.03471518243626126,0.3705438225184251,0.0,0.09996847840770928,-0.055078129656838226
3,Lung Lesion,0.5318393434861517,-0.03436621937449122,0.37899471316973093,0.06764945950079135,0.08916594334411741,0.0
4,Enlarged Cardiomediastinum,0.45794567592881674,-0.021190913322261057,0.44807992507024663,0.0,0.09397439900093663,0.08338740800823713
5,Fracture,0.5341122470269143,0.0,0.3531191320675986,0.04362565777326441,0.11276862090548717,-0.06658385609389454
6,Cardiomegaly,0.4800238826339133,0.0,0.4245052882975094,0.06606407276302895,0.09547082906857728,-0.06282757927727722
7,Pleural Other,0.5444649446494465,0.13258782333672203,0.23800738007380073,0.0,0.21752767527675276,-0.0030534351145038163
8,Support Devices,0.46357165828291963,0.0,0.46432407177053814,0.10630849819560462,0.07210426994654223,-0.032678877174390664
9,Pneumonia,0.54922515952598,0.0,0.3725311455484655,-0.0001997973822143173,0.07824369492555454,0.17032053606198555
10,Edema,0.49925473151546274,0.0,0.39718426293573156,0.06395054234419784,0.10356100554880569,-0.10672357299441826
11,Pleural Effusion,0.5490872310685613,0.07686748741956317,0.40747634667659394,0.0,0.04343642225484481,-0.11616885438967484
12,No Finding,0.38149191812453526,-0.22802023305286273,0.46352393252710267,0.0,0.1549841493483621,0.011989302760084253
13,Atelectasis,0.5613212958795548,0.10365120772387937,0.3718814257852144,0.0,0.06679727833523073,-0.14853021001332778
