,"diseases","%White","Gap_White","%Black","Gap_Black","%Hisp","Gap_Hisp","%Other","Gap_Other","%Asian","Gap_Asian","%American","Gap_American"
0,"Atelectasis",0.660526891643754,-0.008100958262939,0.2013281703407,-0.047008564501588,0.08495152558821,0.012997018346545,0.037371440532029,0.001041620718869,0.012739398898266,-0.001041620718869,0.003082572997041,0.064734386804711
1,"Pneumothorax",0.750539083557952,0.044156081795904,0.127178796046721,-0.06150910565992,0.079469901168014,0,0.029200359389039,-0.089694307953211,0.013611859838275,0.017160223653796,0,
2,"Consolidation",0.714931281744846,0.077232082198411,0.149200776815058,-0.019763188950025,0.098110247983269,0,0.02315506423663,-0.062280044697128,0.014602629220197,0.02918930601651,0,
3,"Pleural Other",0.93659726130182,0.115710025531808,0.047645845057213,0,0.001500656537235,-0.031496062992126,0.005252297880323,-0.031496062992126,0.00900393922341,0.093503937007874,0,
4,"Edema",0.617785762407366,-0.004599435312302,0.204105626081558,0.03186906791548,0.129575567033461,0.063790824465521,0.038348238464485,0.004599435312302,0.008018388132257,-0.108602212020656,0.002166417880873,-0.109636888759516
5,"Cardiomegaly",0.584693133085396,-0.1272878393002,0.26359948039931,-0.0046091140504,0.105984305212022,0.005017692519751,0.031505240493265,0.0046091140504,0.01190455006495,-0.147343519397036,0.002313290745058,0.053219893274
6,"Airspace Opacity",0.675257650977188,0.091123510771571,0.182680826996795,-0.09515506374862,0.099541255577201,0.074522556103148,0.026307107396468,-0.023377069444656,0.014948469804562,0.023377069444656,0.001264689247785,-0.117763267976154
7,"Enlarged Cardiomediastinum",0.702839823417013,0.028718906058704,0.150490874349344,0,0.094023851881136,-0.032456674320737,0.038545167029057,-0.010959180924155,0.01410028332345,0.185086829140547,0,
8,"Fracture",0.811576215728309,0.013793792576116,0.065891910188424,-0.066019819973376,0.021211779307232,0.030089186147289,0.098612208055963,0.160548312687042,0.000902628906691,-0.076293792576116,0.001805257813381,-0.013793792576116
9,"Pneumonia",0.672014354319489,0.110023235987775,0.208164019209457,0.005455546033813,0.083302548947174,-0.005455546033813,0.020001055464668,-0.058348434726947,0.015673650324555,0.103925136517601,0.000844371734656,-0.170485637893174
10,"Support Devices",0.618486291249384,-0.084971193026969,0.219977015268429,-0.031154842224677,0.113288458381218,0.195953259707721,0.033695616483336,0.046831610885757,0.013922180265966,-0.072854591737587,0.000630438351666,0.031154842224677
11,"Lung Lesion",0.715500119170573,0,0.209263525860014,0.04748239214859,0.016763327242393,-0.094582547916976,0.040200206562326,0.206252924049755,0.018272821164694,-0.08623719452732,0,
12,"No Finding",0.501696577684702,-0.072542161933814,0.353928637701137,0.21028062025776,0.09928293083795,-0.042877558862251,0.029524428067757,0.042877558862251,0.014752273149007,0.079459611796505,0.000815152559446,-0.098547532156336
13,"Pleural Effusion",0.710238790841879,0.078316005194496,0.171662592415931,-0.028107859657944,0.06841014786549,-0.112349808548784,0.033903231576437,0.028107859657944,0.013161817314572,-0.068957516551331,0.00262341998569,0.20677474948388
