,"diseases","%60-80","Gap_60-80","%40-60","Gap_40-60","%20-40","Gap_20-40","%80-","Gap_80-","%0-20","Gap_0-20"
0,"Pneumonia",0.432876035655747,-0.014915989363823,0.361946246940746,0.01780078921357,0.137930260233065,0,0.05700877921728,-0.004821929134542,0.010238677953163,0.016017018372074
1,"Consolidation",0.417091349216461,0,0.37300930054784,-0.048479622957227,0.147885080902026,0.009699542360837,0.059083959740094,-0.061634808454493,0.002930309593579,0.033021232797118
2,"Lung Lesion",0.451069345430979,0.037264180409795,0.390667530784187,0.04214075257494,0.095398574206092,0,0.042320155541154,-0.012010827951262,0.020544394037589,-0.055841534083116
3,"Fracture",0.382596188421431,-0.001891344067603,0.449838187702265,0,0.087198849334772,-0.090790460415173,0.074523552678893,0.022438743817973,0.005843221862639,0.092476787800529
4,"Pleural Other",0.430914826498423,0.034655277387182,0.475709779179811,0.053143787665212,0.029652996845426,-0.13145325505729,0.063722397476341,-0.034655277387182,0,
5,"Enlarged Cardiomediastinum",0.451013415413206,0.027289256751013,0.350426854056565,-0.059466914455314,0.142691213194727,0,0.045995702421744,-0.013172013172013,0.009872814913758,0.149632502573679
6,"Airspace Opacity",0.407036320950145,0.106028553106566,0.365191271923767,0,0.153500897666068,-0.00266559463845,0.06536390001381,0.129933924116506,0.008907609446209,-0.094455444935033
7,"Support Devices",0.395572937211897,0,0.328214635905643,-0.101301962829786,0.221167175718778,0.139801837326575,0.049584681100454,0.083996665230071,0.005460570063228,-0.197917230839599
8,"Pneumothorax",0.363791111921697,-0.101661621626455,0.318104444039151,0,0.242963098060672,0.15226609236259,0.056234421545383,-0.189840007231312,0.018906924433096,0.124021120777726
9,"Atelectasis",0.478817789064309,0.153055628216928,0.335617258810282,0,0.130087923145109,-0.040846161292173,0.050485933095358,0.111351772045549,0.004991095884941,-0.20646334975135
10,"Cardiomegaly",0.41492734688675,0,0.319968453253457,-0.078897916546392,0.196099674972914,0.14402779540044,0.06584188388248,0.107689864995101,0.003162641004397,-0.265068313783732
11,"Pleural Effusion",0.512550054949913,0.128596611503071,0.282518348218233,0,0.118786554324621,-0.170440908152518,0.079601581546935,0.161722318890465,0.006543460960297,-0.257002676720987
12,"No Finding",0.229541433826627,-0.209722695842954,0.388711353233551,0,0.342051613265564,0.236892930539102,0.022841256914998,-0.268002942705294,0.01685434275926,0.209897260546355
13,"Edema",0.418135620136573,-0.017179641798671,0.315009589425978,0,0.180867568194867,0.082528209453897,0.085400862437547,0.169925326601852,0.000586359805035,-0.404914944222541
